index,task,url,source,functional_category,profile,actions
aDUZsHGDATdWGluXuuoT1,Make a playlist and add 3 songs from popular Selena Gomez tracks and name it Love in soundcloud,https://soundcloud.com,mind_2_web_train,media_consumption,media_library_platform,"['create_list', 'add_to_list']"
h0G9XbhXtNOYnfhwvejkU,Add Prometheus movie to watchlist in imdb,https://www.imdb.com,mind_2_web_train,media_consumption,media_library_platform,['add_to_list']
zXsB0ygbki-pcS0BM2Skg,Find The Last of Us series and add it to my watch list in imdb,https://www.imdb.com,mind_2_web_train,media_consumption,media_library_platform,['add_to_list']
WNMTXa3VrrQcntjftvi3G,"Add documentary  ""The Elephant Whisperers"" and ""The Magician's Elephant"" to the watchlist in imdb",https://www.imdb.com,mind_2_web_train,media_consumption,media_library_platform,['add_to_list']
sW9TdsZUOKcgw9M7jB7NI,Add the most most popular of all time tab to a playlist in ultimate-guitar,https://www.ultimate-guitar.com,mind_2_web_train,media_consumption,media_library_platform,['add_to_list']
8zdFjA1w6mKbU4_paQU_6,Delete the history of what i heard recently in soundcloud,https://soundcloud.com,mind_2_web_train,media_consumption,media_library_platform,['delete_activity']
CPdTwa57mKJJiZPQg2542,Add formula 1 to my followed sports on foxsports,https://www.foxsports.com,mind_2_web_test,media_consumption,media_library_platform,['add_to_list']
rG7Bw2NN2bQ7CRchbMrAq,Add The Wire to the watchlist on tvguide,https://www.tvguide.com,mind_2_web_test,media_consumption,media_library_platform,['add_to_list']
SxYhvlAHYqr92CmFHyHhq,Browse the list of top 250 movies and add the first one to my watchlist on imdb,https://www.imdb.com,mind_2_web_test,media_consumption,media_library_platform,['add_to_list']
321,"Register for a new Crunchyroll account and create a watchlist titled ""Weekend Binge"" by adding three anime series from the trending list.
Only use http://crunchyroll.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.crunchyroll.com,webbench_entertainment,media_consumption,media_library_platform,"['create_list', 'add_to_list']"
322,"Log in to your account and create a watchlist named ""Favorites,"" then add ""My Hero Academia"" as the first entry on the list.
Only use http://crunchyroll.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.crunchyroll.com,webbench_entertainment,media_consumption,media_library_platform,"['create_list', 'add_to_list']"
323,"Access your account and set up a watchlist called ""Classic Anime"" by adding at least four classic anime series from the catalog.
Only use http://crunchyroll.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.crunchyroll.com,webbench_entertainment,media_consumption,media_library_platform,"['create_list', 'add_to_list']"
324,"Create a custom list titled ""Action-packed Series"" by combining selections from both anime and East Asian dramas; add ""Naruto"" and ""Violet Evergarden"" as initial entries.
Only use http://crunchyroll.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.crunchyroll.com,webbench_entertainment,media_consumption,media_library_platform,"['create_list', 'add_to_list']"
325,"Mark ""One Piece"" as a favorite from its details page so that it appears in your profile’s ""Favorites"" section.
Only use http://crunchyroll.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.crunchyroll.com,webbench_entertainment,media_consumption,media_library_platform,['add_to_list']
326,"If you haven’t already, register for a Crunchyroll account and create a new list titled ""Seasonal Picks"" by adding at least two anime series currently airing this season.
Only use http://crunchyroll.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.crunchyroll.com,webbench_entertainment,media_consumption,media_library_platform,"['create_list', 'add_to_list']"
327,"Log in to your account, create a ""Classic Anime"" watchlist with 2 animes including ""Naruto"". Then navigate to your ""Classic Anime"" watchlist, and remove the entry for ""Naruto,"" then verify that it is no longer listed.
Only use http://crunchyroll.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.crunchyroll.com,webbench_entertainment,media_consumption,media_library_platform,"['create_list', 'add_to_list', 'remove_from_list']"
328,"Sign in to your profile, create a new watchlist titled ""Action-packed Series,"" then remove the watchlist titled ""Action-packed Series,"" confirming its deletion from your account.
Only use http://crunchyroll.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.crunchyroll.com,webbench_entertainment,media_consumption,media_library_platform,"['create_list', 'delete_list']"
334,"Log in to your account, create a ""Weekend Binge"" watchlist and add ""Attack on Titan."" Then open the ""Weekend Binge"" watchlist, and update it by adding the anime ""Hunter x Hunter"" to the list.
Only use http://crunchyroll.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.crunchyroll.com,webbench_entertainment,media_consumption,media_library_platform,"['create_list', 'add_to_list']"
335,"Log in, create a favorites list and add Demon Slayer to it, then update the list to also include ""Attack on Titan.""
Only use http://crunchyroll.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.crunchyroll.com,webbench_entertainment,media_consumption,media_library_platform,"['create_list', 'add_to_list']"
843,"Upvote the featured user review for ""Dune: Part Two:
Only use http://imdb.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.imdb.com,webbench_entertainment,media_consumption,media_library_platform,['upvote_review']
844,"Rate the movie ""Top Gun: Maverick"" with a score of 9 out of 10.
Only use http://imdb.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.imdb.com,webbench_entertainment,media_consumption,media_library_platform,['create_review']
845,"Rate ""Top Gun: Maverick"" with 9 stars then leave a short review explaining why it deserves a 9
Only use http://imdb.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.imdb.com,webbench_entertainment,media_consumption,media_library_platform,['create_review']
846,"Add ""The Witcher"" to your watchlist and confirm that its in there.
Only use http://imdb.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.imdb.com,webbench_entertainment,media_consumption,media_library_platform,['add_to_list']
847,"Create a new custom list called ""Fantasy Series,"" move ""The Witcher"" from your watchlist to that new list, and add two fantasy shows.
Only use http://imdb.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.imdb.com,webbench_entertainment,media_consumption,media_library_platform,"['create_list', 'add_to_list', 'remove_from_list']"
848,"Look at all the movies in your watchlist, see which one has the highest user rating, and check if its offered in Chinese.
Only use http://imdb.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.imdb.com,webbench_entertainment,media_consumption,media_library_platform,
991,"Create a new diary entry for the film ""Parasite,"" assign it a 4-star rating, and include a brief review of its plot.
Only use http://letterboxd.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://letterboxd.com,webbench_entertainment,media_consumption,media_library_platform,"['create_log', 'create_review']"
992,"Compose a detailed film review diary entry for ""The Grand Budapest Hotel,"" focusing on its cinematography, and rate it 5 stars.
Only use http://letterboxd.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://letterboxd.com,webbench_entertainment,media_consumption,media_library_platform,"['create_log', 'create_review']"
993,"Create a new custom list titled ""Must Watch 2025"" and add at least top 5 films that are popular this week.
Only use http://letterboxd.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://letterboxd.com,webbench_entertainment,media_consumption,media_library_platform,"['create_list', 'add_to_list']"
994,"Write a diary entry that compares the films ""Blade Runner"" and ""Blade Runner 2049,"" including your opinions and a star rating for each.
Only use http://letterboxd.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://letterboxd.com,webbench_entertainment,media_consumption,media_library_platform,"['create_log', 'create_review']"
995,"Update your profile with a public update listing your top 3 favorite films of all time.
Only use http://letterboxd.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://letterboxd.com,webbench_entertainment,media_consumption,media_library_platform,['update_profile']
996,"Create a new diary entry for the film ""Mad Max: Fury Road,"" include your rating, write a review comment, and tag the entry with ""action.""
Only use http://letterboxd.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://letterboxd.com,webbench_entertainment,media_consumption,media_library_platform,"['create_log', 'create_review']"
997,"Log in to your account, create a new diary entry for any film, then delete that diary entry and verify its removal from your profile.
Only use http://letterboxd.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://letterboxd.com,webbench_entertainment,media_consumption,media_library_platform,"['create_log', 'delete_log']"
998,"Login, create a custom list titled ""Old Favorites"" from your profile and add 3 movies, then delete this list ensuring it no longer appears in your account.
Only use http://letterboxd.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://letterboxd.com,webbench_entertainment,media_consumption,media_library_platform,"['create_list', 'add_to_list', 'delete_list']"
1004,"Log in to your Letterboxd account, create a diary entry for ""Inception"" with 3 stars, then locate your diary entry for ""Inception,"" and update its rating from 3 stars to 4 stars.
Only use http://letterboxd.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://letterboxd.com,webbench_entertainment,media_consumption,media_library_platform,"['create_log', 'create_review', 'update_review']"
1005,"Edit your profile to add ""Citizen Kane"" to your personal list of favorite films.
Only use http://letterboxd.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://letterboxd.com,webbench_entertainment,media_consumption,media_library_platform,['update_profile']
1139,"Log in to your Metacritic account and submit a new user review for the movie “Inception,” including a star rating out of 10 and a brief comment on its plot and visuals.
Only use http://metacritic.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.metacritic.com,webbench_entertainment,media_consumption,media_library_platform,['create_review']
1140,"Write and submit a user review for the video game “God of War” that covers gameplay, graphics, and storyline, and include your overall rating.
Only use http://metacritic.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.metacritic.com,webbench_entertainment,media_consumption,media_library_platform,['create_review']
1141,"Navigate to the review section for the movie “Parasite” and compose a personal review that includes your rating and thoughts on its directing and script.
Only use http://metacritic.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.metacritic.com,webbench_entertainment,media_consumption,media_library_platform,['create_review']
1142,"Log in to your Metacritic account, post a user review for the TV show “The Mandalorian,” and then delete that review, confirming its complete removal from your profile.
Only use http://metacritic.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.metacritic.com,webbench_entertainment,media_consumption,media_library_platform,"['create_review', 'delete_review']"
1143,"Create a user review for the video game “Super Mario Odyssey” and immediately remove it from your account
Only use http://metacritic.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.metacritic.com,webbench_entertainment,media_consumption,media_library_platform,"['create_review', 'delete_review']"
1149,"Log in to your Metacritic account, create a user review for the video game “Resident Evil 2,” then locate your existing user review for the video game “Resident Evil 2,” and update it to add comments on its multiplayer features.
Only use http://metacritic.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.metacritic.com,webbench_entertainment,media_consumption,media_library_platform,"['create_review', 'update_review']"
1150,"Sign in, post a review for “The Dark Knight” and give it 7 stars, then modify your previously submitted review for the film “The Dark Knight” by changing the star rating from 7 to 2 stars and update the review text.
Only use http://metacritic.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.metacritic.com,webbench_entertainment,media_consumption,media_library_platform,"['create_review', 'update_review']"
1589,"Log in to your Spotify account and create a new playlist titled ""Workout Beats,"" then add 3 songs from the ""Workout"" genre.
Only use http://spotify.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://open.spotify.com,webbench_entertainment,media_consumption,media_library_platform,"['create_list', 'add_to_list']"
1590,"Create a playlist named ""Road Trip Essentials"" and add ""Life is a Highway"" by Rascal Flatts along with two additional road trip-themed tracks.
Only use http://spotify.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://open.spotify.com,webbench_entertainment,media_consumption,media_library_platform,"['create_list', 'add_to_list']"
1591,"Create a podcast playlist by starting a new list and adding one episode from a podcast in the ""Tech Trends"" category.
Only use http://spotify.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://open.spotify.com,webbench_entertainment,media_consumption,media_library_platform,"['create_list', 'add_to_list']"
1592,"Use Spotify’s AI-generated playlist feature by entering the prompt ""chill acoustic vibes"" and then save the resulting playlist.
Only use http://spotify.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://open.spotify.com,webbench_entertainment,media_consumption,media_library_platform,"['create_list', 'add_to_list']"
1593,"Create a personal playlist titled ""Indie Discoveries"" and add 5 indie tracks from different artists to it.
Only use http://spotify.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://open.spotify.com,webbench_entertainment,media_consumption,media_library_platform,"['create_list', 'add_to_list']"
1594,"Find an episode from the ""Technology"" podcast category and add it to your favorites by bookmarking it.
Only use http://spotify.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://open.spotify.com,webbench_entertainment,media_consumption,media_library_platform,['add_to_list']
1595,"Build a playlist called ""Evening Classics"" by manually adding 4 classical pieces from Spotify’s classical music collection.
Only use http://spotify.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://open.spotify.com,webbench_entertainment,media_consumption,media_library_platform,"['create_list', 'add_to_list']"
1596,"Search for ""Blinding Lights"" by The Weeknd, create a new playlist, and add the track along with two similar hit songs.
Only use http://spotify.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://open.spotify.com,webbench_entertainment,media_consumption,media_library_platform,"['create_list', 'add_to_list']"
1597,"Create a new playlist titled ""Summer Hits"" and add 4 tracks that evoke a summer vibe based on your listening preference.
Only use http://spotify.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://open.spotify.com,webbench_entertainment,media_consumption,media_library_platform,"['create_list', 'add_to_list']"
1598,"Log in to your Spotify account and create a new playlist titled ""Evening Chill"" by adding a mix of 6 tracks, including at least one slow jazz track, an acoustic ballad, and a chill pop song.
Only use http://spotify.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://open.spotify.com,webbench_entertainment,media_consumption,media_library_platform,"['create_list', 'add_to_list']"
1599,"Use the search function to find a podcast on ""True Crime,"" listen to one episode, and add it to an existing playlist titled ""True Crime Stories.""
Only use http://spotify.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://open.spotify.com,webbench_entertainment,media_consumption,media_library_platform,['add_to_list']
1600,"Log in, listen to two tracks on the US Top Charts page, then go to the queue and see what the next song recommnded in the queue is and return the name and artist.
Only use http://spotify.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://open.spotify.com,webbench_entertainment,media_consumption,media_library_platform,
1601,"Create a temporary playlist titled ""Test Playlist,"" add two tracks, then delete the playlist and confirm its removal from your library.
Only use http://spotify.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://open.spotify.com,webbench_entertainment,media_consumption,media_library_platform,"['create_list', 'add_to_list', 'delete_list']"
1602,"Log in to Spotify, access your ""Liked Songs"" collection, select a track, and remove it from your saved list.
Only use http://spotify.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://open.spotify.com,webbench_entertainment,media_consumption,media_library_platform,['remove_from_list']
